"Date","Price","Open","High","Low","Vol.","Change %"
"09/29/2023","6,939.89","6,958.90","6,978.24","6,939.89","16.57B","0.03%"
"09/27/2023","6,937.83","6,918.35","6,970.58","6,914.90","15.49B","0.20%"
"09/26/2023","6,923.80","7,004.38","7,017.14","6,914.83","22.25B","-1.07%"
"09/25/2023","6,998.38","7,017.72","7,028.32","6,995.97","18.30B","-0.26%"
"09/22/2023","7,016.84","6,992.38","7,038.45","6,988.08","15.57B","0.36%"
"09/21/2023","6,991.47","7,011.68","7,021.29","6,974.01","13.80B","-0.29%"
"09/20/2023","7,011.68","6,980.32","7,046.48","6,980.32","14.66B","0.45%"
"09/19/2023","6,980.32","6,939.31","6,993.19","6,935.25","13.54B","0.64%"
"09/18/2023","6,936.08","6,974.47","6,998.36","6,932.91","15.38B","-0.67%"
"09/15/2023","6,982.79","6,964.83","7,010.40","6,946.83","34.69B","0.34%"
"09/14/2023","6,959.33","6,935.33","6,968.98","6,927.68","17.18B","0.34%"
"09/13/2023","6,935.48","6,931.22","6,944.17","6,905.33","16.39B","0.02%"
"09/12/2023","6,933.97","6,963.39","6,976.48","6,928.23","17.47B","-0.42%"
"09/11/2023","6,963.39","6,924.78","6,963.39","6,904.36","17.41B","0.56%"
"09/08/2023","6,924.78","6,955.30","6,962.80","6,901.37","14.04B","-0.43%"
"09/07/2023","6,954.81","6,983.25","7,003.17","6,928.81","19.12B","-0.59%"
"09/06/2023","6,995.95","6,991.54","7,020.63","6,991.54","16.54B","0.06%"
"09/05/2023","6,991.71","7,000.12","7,012.56","6,974.76","18.32B","-0.07%"
"09/04/2023","6,996.75","6,977.80","7,007.80","6,974.82","15.46B","0.27%"
"09/01/2023","6,977.65","6,964.31","6,992.36","6,957.37","14.58B","0.35%"
"08/31/2023","6,953.26","6,972.61","6,981.53","6,926.67","23.31B","-0.19%"
"08/30/2023","6,966.66","6,968.93","7,007.34","6,966.66","15.93B","0.13%"
"08/29/2023","6,957.83","6,934.07","6,963.90","6,933.56","24.43B","0.52%"
"08/28/2023","6,921.73","6,909.23","6,938.01","6,907.93","18.55B","0.38%"
"08/25/2023","6,895.44","6,899.39","6,906.08","6,869.63","13.00B","-0.06%"
"08/24/2023","6,899.39","6,924.15","6,937.25","6,899.39","14.28B","-0.32%"
"08/23/2023","6,921.41","6,925.27","6,957.91","6,921.33","17.07B","0.07%"
"08/22/2023","6,916.45","6,861.29","6,927.02","6,861.29","15.86B","0.73%"
"08/21/2023","6,866.03","6,860.41","6,890.25","6,860.41","20.77B","0.09%"
"08/18/2023","6,859.91","6,899.83","6,899.83","6,856.38","13.07B","-0.59%"
"08/16/2023","6,900.54","6,904.64","6,908.06","6,856.90","15.23B","-0.21%"
"08/15/2023","6,915.10","6,909.91","6,928.28","6,900.76","17.28B","0.07%"
"08/14/2023","6,910.17","6,879.58","6,910.17","6,825.43","13.88B","0.44%"
"08/11/2023","6,879.98","6,893.28","6,906.65","6,865.11","13.07B","-0.19%"
"08/10/2023","6,893.28","6,879.21","6,910.23","6,876.51","16.27B","0.26%"
"08/09/2023","6,875.11","6,881.41","6,900.94","6,867.68","21.85B","0.09%"
"08/08/2023","6,868.81","6,887.48","6,914.81","6,862.02","17.04B","-0.25%"
"08/07/2023","6,886.37","6,874.02","6,902.93","6,863.71","13.45B","0.49%"
"08/04/2023","6,852.84","6,899.59","6,924.75","6,851.57","11.88B","-0.66%"
"08/03/2023","6,898.08","6,854.51","6,924.05","6,839.74","16.36B","0.64%"
"08/02/2023","6,854.51","6,886.50","6,886.50","6,833.98","18.39B","-0.46%"
"08/01/2023","6,886.50","6,931.08","6,934.39","6,880.47","19.61B","-0.65%"
"07/31/2023","6,931.36","6,901.17","6,931.36","6,895.56","17.15B","0.45%"
"07/28/2023","6,900.23","6,896.81","6,904.10","6,857.37","14.67B","0.05%"
"07/27/2023","6,896.66","6,948.28","6,966.17","6,896.66","15.86B","-0.74%"
"07/26/2023","6,948.28","6,917.71","6,955.98","6,917.41","14.97B","0.44%"
"07/25/2023","6,917.71","6,897.98","6,944.62","6,897.98","15.05B","0.27%"
"07/24/2023","6,899.40","6,880.80","6,929.68","6,877.95","15.01B","0.27%"
"07/21/2023","6,880.80","6,864.19","6,880.80","6,837.65","13.16B","0.24%"
"07/20/2023","6,864.19","6,830.06","6,874.89","6,828.00","14.20B","0.50%"
"07/18/2023","6,830.20","6,877.50","6,900.51","6,800.23","15.04B","-0.54%"
"07/17/2023","6,867.14","6,869.71","6,931.27","6,867.14","17.68B","-0.04%"
"07/14/2023","6,869.57","6,810.21","6,874.78","6,810.21","16.07B","0.87%"
